id,season,year,name,full_name,url,status,category,prize,country,city
2053,1991-1992,1992,Scottish Amateur Championship,1992 Scottish Amateur Championship,https://cuetracker.net/tournaments/scottish-amateur-championship/1992/2053,Amateur,National Championship,0.0,Scotland,Glasgow
489,1991-1992,1992,Irish Masters,1992 Irish Masters,https://cuetracker.net/tournaments/irish-masters/1992/489,Professional,Invitational,161500.0,Ireland,Kill
490,1991-1992,1992,European Open,1992 European Open,https://cuetracker.net/tournaments/european-open/1992/490,Professional,Ranking,145000.0,Belgium,Tongeren
491,1991-1992,1992,Strachan Open,1992 Strachan Open,https://cuetracker.net/tournaments/strachan-open/1992/491,Professional,Ranking,60000.0,England,Bristol
661,1991-1992,1992,European Challenge,1992 European Challenge,https://cuetracker.net/tournaments/european-challenge/1992/661,Professional,Non-ranking,50000.0,Belgium,Waregem
492,1991-1992,1992,British Open,1992 British Open,https://cuetracker.net/tournaments/british-open/1992/492,Professional,Ranking,442000.0,England,Derby
493,1991-1992,1992,Welsh Open,1992 Welsh Open,https://cuetracker.net/tournaments/welsh-open/1992/493,Professional,Ranking,120000.0,Wales,Newport
494,1991-1992,1992,Masters,1992 Masters,https://cuetracker.net/tournaments/masters/1992/494,Professional,Invitational,365000.0,England,London
495,1991-1992,1992,Asian Open,1992 Asian Open,https://cuetracker.net/tournaments/asian-open/1992/495,Professional,Ranking,180000.0,Thailand,Bangkok
488,1991-1992,1992,Matchroom League,1992 Matchroom League,https://cuetracker.net/tournaments/matchroom-league/1992/488,Professional,League,250000.0,,Various
2024,1991-1992,1992,Australian Amateur Championship,1992 Australian Amateur Championship,https://cuetracker.net/tournaments/australian-amateur-championship/1992/2024,Amateur,National Championship,0.0,Australia,Unknown
1418,1991-1992,1992,Belgian Amateur Championship,1992 Belgian Amateur Championship,https://cuetracker.net/tournaments/belgian-amateur-championship/1992/1418,Amateur,National Championship,0.0,Belgium,Antwerp
1452,1991-1992,1992,Canadian Championship,1992 Canadian Championship,https://cuetracker.net/tournaments/canadian-championship/1992/1452,Pro-am,National Championship,0.0,Canada,Saskatoon
496,1991-1992,1992,Classic,1992 Classic,https://cuetracker.net/tournaments/classic/1992/496,Professional,Ranking,326000.0,England,Bournemouth
1572,1991-1992,1992,Dutch Amateur Championship,1992 Dutch Amateur Championship,https://cuetracker.net/tournaments/dutch-amateur-championship/1992/1572,Amateur,National Championship,0.0,Netherlands,Warmond
1892,1991-1992,1992,English Amateur Championship,1992 English Amateur Championship,https://cuetracker.net/tournaments/english-amateur-championship/1992/1892,Amateur,National Championship,0.0,England,Various
1507,1991-1992,1992,Irish Amateur Championship,1992 Irish Amateur Championship,https://cuetracker.net/tournaments/irish-amateur-championship/1992/1507,Amateur,National Championship,0.0,Ireland,Unknown
1543,1991-1992,1992,Malta Amateur Championship,1992 Malta Amateur Championship,https://cuetracker.net/tournaments/malta-amateur-championship/1992/1543,Amateur,National Championship,0.0,Malta,Unknown
1755,1991-1992,1992,Northern Ireland Amateur Championship,1992 Northern Ireland Amateur Championship,https://cuetracker.net/tournaments/northern-ireland-amateur-championship/1992/1755,Amateur,National Championship,0.0,Northern Ireland,Unknown
1802,1991-1992,1992,Swedish Amateur Championship,1992 Swedish Amateur Championship,https://cuetracker.net/tournaments/swedish-amateur-championship/1992/1802,Amateur,National Championship,0.0,Sweden,Unknown
1671,1991-1992,1992,United States Amateur Championship,1992 United States Amateur Championship,https://cuetracker.net/tournaments/united-states-amateur-championship/1992/1671,Amateur,National Championship,0.0,United States,Aurora
1716,1991-1992,1992,Welsh Amateur Championship,1992 Welsh Amateur Championship,https://cuetracker.net/tournaments/welsh-amateur-championship/1992/1716,Amateur,National Championship,0.0,Wales,Unknown
457,1993-1994,1993,European Open,1993 European Open,https://cuetracker.net/tournaments/european-open/1993/457,Professional,Ranking,114800.0,Belgium,Antwerp
1130,1993-1994,1993,World Amateur Championship - Men,1993 World Amateur Championship - Men,https://cuetracker.net/tournaments/world-amateur-championship-men/1993/1130,Amateur,World Event,0.0,Pakistan,Karachi
458,1993-1994,1993,UK Championship,1993 UK Championship,https://cuetracker.net/tournaments/uk-championship/1993/458,Professional,Ranking,375000.0,England,Preston
459,1993-1994,1993,Benson and Hedges Championship,1993 Benson and Hedges Championship,https://cuetracker.net/tournaments/benson-and-hedges-championship/1993/459,Professional,Non-ranking,7870.0,Scotland,Glasgow
2903,1993-1994,1993,Merseyside Professional,1993 Merseyside Professional,https://cuetracker.net/tournaments/merseyside-professional/1993/2903,Professional,Non-ranking,500.0,England,Liverpool
460,1993-1994,1993,Grand Prix,1993 Grand Prix,https://cuetracker.net/tournaments/grand-prix/1993/460,Professional,Ranking,326800.0,England,Reading
461,1993-1994,1993,Dubai Classic,1993 Dubai Classic,https://cuetracker.net/tournaments/dubai-classic/1993/461,Professional,Ranking,221925.0,United Arab Emirates,Dubai
462,1993-1994,1993,Scottish Masters,1993 Scottish Masters,https://cuetracker.net/tournaments/scottish-masters/1993/462,Professional,Invitational,140000.0,Scotland,Motherwell
3105,1992-1993,1993,German Open Snooker Ranking - Event 33 - 2 Star,1993 German Open Snooker Ranking - Event 33 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-33-2-star/1993/3105,Amateur,National Ranking,0.0,Germany,Gifhorn
3104,1992-1993,1993,German Open Snooker Ranking - Event 32 - 2 Star,1993 German Open Snooker Ranking - Event 32 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-32-2-star/1993/3104,Amateur,National Ranking,0.0,Germany,Münster
2049,1993-1994,1993,Australian Open Championship,1993 Australian Open Championship,https://cuetracker.net/tournaments/australian-open-championship/1993/2049,Pro-am,Continental Event,0.0,Australia,Melbourne
463,1993-1994,1993,Pot Black,1993 Pot Black,https://cuetracker.net/tournaments/pot-black/1993/463,Professional,Invitational,34000.0,England,Birmingham
1191,1993-1994,1993,World Under-21 Championship - Men,1993 World Under-21 Championship - Men,https://cuetracker.net/tournaments/world-under-21-championship-men/1993/1191,Amateur,World Event,0.0,Iceland,Reykjavik
3103,1992-1993,1993,German Open Snooker Ranking - Event 31 - 4 Star - Dornstadt Classic,1993 German Open Snooker Ranking - Event 31 - 4 Star - Dornstadt Classic,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-31-4-star-dornstadt-classic/1993/3103,Amateur,National Ranking,0.0,Germany,Dornstadt
3101,1992-1993,1993,German Open Snooker Ranking - Event 29 - 2 Star,1993 German Open Snooker Ranking - Event 29 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-29-2-star/1993/3101,Amateur,National Ranking,0.0,Germany,Berlin
3102,1992-1993,1993,German Open Snooker Ranking - Event 30 - 2 Star,1993 German Open Snooker Ranking - Event 30 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-30-2-star/1993/3102,Amateur,National Ranking,0.0,Germany,Bielefeld
3098,1992-1993,1993,German Open Snooker Ranking - Event 26 - 1 Star,1993 German Open Snooker Ranking - Event 26 - 1 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-26-1-star/1993/3098,Amateur,National Ranking,0.0,Germany,Aachen
3099,1992-1993,1993,German Open Snooker Ranking - Event 27 - 1 Star,1993 German Open Snooker Ranking - Event 27 - 1 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-27-1-star/1993/3099,Amateur,National Ranking,0.0,Germany,Kempten
